,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
27 - 223/2,CPR O/H    WBL (Recreational Trail),VIADUC DU CPR VDO ,417,45.528086,-74.557945,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1973,2005,,3,Total=39  (1)=13;(2)=14;(3)=12;,40.4,12.64,Eastern,,Open to traffic,Provincial,11/02/2016,74.7,,74.7,,74.9,,74.5,,74.6,,75,,76.5,,67.6,,70.1,,88.1
27 - 224/,E HAWKESBURYTWP RD,TWP RD PASSAGE INFÉRIEUR RELOCALISÉ ,417,45.564928,-74.505517,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1973,2008,,2,Total=80  (1)=40;(2)=40;,80.4,10.36,Eastern,,Open to traffic,Provincial,11/02/2016,74.1,,74.1,,74.3,,74.7,,75.8,,66.8,,66.8,,68,,73.8,,91.6
27 - 225/C,MOOSE CK CULV.,,417,45.3168655,-75.0206499,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1972,,,1,Total=6.1  (1)=6.1;,72.54,,Eastern,,Open to traffic,Provincial,09/21/2016,67.5,,67.5,,69.3,,69.8,,68.8,,68.9,,69,,69,,73.9,,74.1
27 - 246/C1,Culvert,,417,45.313137,-75.260693,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,2010,2010,,2,Total=4.4  (1)=2.2;(2)=2.2;,36.7,,Eastern,,Open to traffic,Provincial,09/01/2016,89.6,,89.6,,93.3,,96.6,,,,53.7,,,,,,,,
27 - 246/C2,Culvert,,417,45.3143195,-75.2598561,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,2010,2010,,2,Total=4.4  (1)=2.2;(2)=2.2;,39.6,,Eastern,,Open to traffic,Provincial,09/01/2016,89.8,,89.8,,93.7,,96.9,,,,53.5,,,,,,,,
27 - 247/C,Indian Creek Culvert,,417,45.313162,-75.2431258,Culvert,Other Culvert,Curved Culvert (Unknown),Corrugated Steel,2007,,2007,2,Total=8.1  (1)=3.8;(2)=4.3;,96,,Eastern,,Open to traffic,Provincial,12/02/2016,74.8,,74.8,,74.8,,74.9,,75.1,,75,,,,,,,,
27 - 248/C1,Culvert (1.7km east of Limoges Road Underpass),,417,45.3124404,-75.2209674,Culvert,Other Culvert,Curved Culvert (Unknown),Reinforced Cast-In-Place Concrete,2006,,,1,Total=3  (1)=3;,31.5,,Eastern,,Open to traffic,Provincial,10/20/2015,90.7,,,90.7,,,,92.1,,,,99.4,,,,,,,
27 - 248/C2,Culvert (5.8km west of Prescott-Russel Road 3 Overpass),,417,45.3128339,-75.2209507,Culvert,Other Culvert,Rectangular Culvert (Unknown),Prestressed Precast Concrete,2006,,,1,Total=3  (1)=3;,33.6,,Eastern,,Open to traffic,Provincial,10/20/2015,90.7,,,90.7,,,,92.6,,,,99.4,,,,,,,
27 - 251/C1,Culvert (4.4km east of Limoges Road Underpass),,417,45.3150912,-75.1865965,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,,,,,,29,,Eastern,,Open to traffic,Provincial,10/20/2015,72.4,,,72.4,,72.8,,,,72,,,,,,,,,
27 - 251/C2,Culvert (3km west of Prescott Russel Road 3 Overpass),,417,45.3158623,-75.18675,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,28.9,,Eastern,,Open to traffic,Provincial,10/20/2015,72.8,,,72.8,,72.8,,,,73.2,,,,,,,,,
27 - 252/C,"Hwy 417 Culvert, 25 m east of Hwy 7",,417,45.3032164,-75.0779929,Culvert,Other Culvert,Curved Culvert (Unknown),Corrugated Steel,,,,,,,,Eastern,,Open to traffic,Provincial,11/02/2017,65.7,65.7,,,,65.9,,,,74.4,,,,,,,,,
27 - 261/C,Culvert (2.8km East of Prescott Russel Road 3 Overpass),,417,45.304319,-75.1205233,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Precast Concrete,2006,,,1,Total=3  (1)=3;,37,,Eastern,,Open to traffic,Provincial,10/20/2015,82.7,,,82.7,,86.8,,,,98.9,,,,,,,,,
27 - 262/C,Culvert (3.5km west of Principale St. Underpass),,417,45.305141,-75.1245977,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2006,,,1,Total=3  (1)=3;,41.5,,Eastern,,Open to traffic,Provincial,10/20/2015,83.3,,,83.3,,87.3,,,,99.5,,,,,,,,,
27 - 263/C1,"Hwy 417 EBL Culvert, 0.75km east of County Rd 9",,417,45.4144913,-74.7692851,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Steel,2001,,,1,Total=3  (1)=3;,37.5,,Eastern,,Open to traffic,Provincial,11/01/2017,83.2,83.2,,,,86.9,,,,93,,,,,,,,,
27 - 263/C2,"Hwy 417 WBL Culvert, 3.2km west of County Rd 23",,417,45.4145077,-74.7699215,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2001,,,1,Total=3  (1)=3;,40,,Eastern,,Open to traffic,Provincial,11/01/2017,82.2,82.2,,,,88.2,,,,90.2,,,,,,,,,
27 - 266/C,Hwy 34 Culvert at Intersection of Nixon Road,,34,45.4708999,-74.678529,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2015,2015,,1,Total=3  (1)=3.0;,25.9,,Eastern,,Open to traffic,Provincial,10/20/2015,100,,,100,26.8,26.8,53.7,56.6,,56.3,,,,,,,,,
27 - 359/,LONG SAULT BRIDGE,PONT LONG SAULT ,34,45.615983,-74.599951,Bridge,Beam/Girder,Other Beam,Prestressed Precast Concrete,1999,,2015,10,Total=650  (1)=51;(2)=68.5;(3)=68.5;(4)=68.5;(5)=68.5;(6)=68.5;(7)=68.5;(8)=68.5;(9)=68.5;(10)=51;,652,21.8,Eastern,,Open to traffic,Provincial - Joint Owner,11/28/2017,79.2,79.2,,,,87.4,,87.4,,87.4,,89.3,,,,,,,
27 - 360/,CHENAIL ISLAND BRIDGE,PONT ÎLE CHENAIL ,34,45.612897,-74.604278,Bridge,Beam/Girder,Rolled I Beam,Weathering Steel,1999,,2011,2,Total=81  (1)=40.5;(2)=40.5;,81.5,23.2,Eastern,,Open to traffic,Provincial,09/15/2016,79.3,,79.3,,80.5,,88.4,,92.7,,94.8,,85.7,,,,,,
27 - 361/C,Culvert on WB Off-Ramp to Prinipale Street (Casselman),,417,45.3042116,-75.0778168,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,,,,1,Total=3.4  (1)=3.4;,48.8,,Eastern,,Open to traffic,Provincial,10/20/2015,70.7,,,70.7,,72.6,,,,73.3,,,,,,,,,
27 - 362/C,Culvert under South Approach for Principale Street Underpass,,417,45.3023671,-75.079664,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,,,,1,Total=3.4  (1)=3.4;,37.1,,Eastern,,Open to traffic,Provincial,11/02/2017,69.5,69.5,,69.9,,73.8,,,,73.3,,,,,,,,,
27 - 363/C,Culvert under Hwy 417 EB Off-Ramp to Principale Street,,417,45.3015358,-75.08137,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,,,,1,Total=3.4  (1)=3.4;,59,,Eastern,,Open to traffic,Provincial,11/02/2017,69.7,69.7,,69.8,,73.2,,,,73.3,,,,,,,,,
27 - 364/C1,"Hwy 417 EBL Culvert, 2.7km east of County Rd 9",,417,45.4277748,-74.755931,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2004,,,1,Total=3  (1)=3;,42.5,,Eastern,,Open to traffic,Provincial,11/01/2017,85.8,85.8,,,,89.8,,,,90.6,,,,,,,,,
27 - 364/C2,"Hwy 417 WBL Culvert, 1.3km west of County Rd 23",,417,45.4284843,-74.7562066,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2004,,,1,Total=3  (1)=3;,45,,Eastern,,Open to traffic,Provincial,11/01/2017,85.2,85.2,,,,88.3,,,,88.3,,,,,,,,,
27 - 365/C1,Culvert,,417,45.302016,-75.091861,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2007,,,1,Total=3  (1)=3.0;,38.4,,Eastern,,Open to traffic,Provincial,09/21/2016,84.5,,84.5,,,,86.6,,,,99.5,,,,,,,,
27 - 365/C2,Culvert,,417,45.302705,-75.089918,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2007,,,1,Total=3  (1)=3.00;,26.4,,Eastern,,Open to traffic,Provincial,09/21/2016,85.2,,85.2,,,,87.1,,,,99,,,,,,,,
27 - 366/C1,Culvert,,417,45.303306,-75.099768,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2007,,,1,Total=3  (1)=3.00;,38.4,,Eastern,,Open to traffic,Provincial,09/21/2016,84.9,,84.9,,,,89.4,,,,99.2,,,,,,,,
27 - 366/C2,Culvert,,417,45.304173,-75.099411,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Precast Concrete,2007,,,1,Total=3  (1)=3.00;,27,,Eastern,,Open to traffic,Provincial,09/21/2016,86.3,,86.3,,,,90.1,,,,100,,,,,,,,
28 -   2/C,MAIN CHANNEL CULVERT,,62,44.102521,-77.396959,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1959,,,1,Total=6.1  (1)=6.1;,35.2,,Eastern,,Open to traffic,Provincial,10/03/2017,72.7,72.7,,66,,66.2,,66.1,,72.4,,72.9,,72.9,,73.9,,,
28 -   7/C,PEARSALL CREEK CULVERT,,62,44.030639,-77.285152,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,1923,2017,,2,Total=12.2  (1)=6.1;(2)=6.1;,20.9,,Eastern,PRINCE EDWARD,Open to traffic,Provincial,08/28/2015,56.9,56.9,,56.9,,57.8,,58.1,,54.4,,54.6,,54.6,,68,,58.2,
28 -  28/,NORRIS WHITNEY BRIDGE,PONT NORRIS WHITNEY ,62,44.147284,-77.386643,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1982,,,11,Total=881  (1)=58;(2)=85;(3)=85;(4)=85;(5)=85;(6)=85;(7)=85;(8)=85;(9)=85;(10)=85;(11)=58;,896,12.25,Eastern,PRINCE EDWARD,Open to traffic,Provincial,07/26/2017,74.5,74.5,,74.6,,74.1,,74.9,,74.8,,74.8,,74.9,,74.8,,75,
28 -  33/C,Culvert,,62,43.990944,-77.269006,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,21.6,,Eastern,,Open to traffic,Provincial,06/01/2016,71.2,,71.2,,,,70.4,,,,71.2,,,,,,,,
28 -  34/C,Union Road Culvert,,62,44.07921,-77.375348,Culvert,Closed Culvert,Box Culvert (Non-Rigid Frame),Reinforced Precast Concrete,2016,2016,,1,Total=4  (1)=4.0;,23.8,,Eastern,,Open to traffic,Provincial,10/03/2017,98,98,,,,47.7,,48.5,,46.5,,56.7,,,,,,,
29 -   1/,CPR O/H AT DEUX RIVIERES,VIADUC CPR À DEUX RIVIERES ,17,46.24991,-78.29018,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1969,2000,,3,Total=69.5  (1)=18.3;(2)=32.9;(3)=18.3;,63.4,12.8,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,73.2,,73.2,,74.3,,74.5,,74.7,,74.6,74.5,,74.4,,74.2,,70.1,
29 -   2/C,DEUX RIVIERES CREEK CULVERT,,17,46.25139,-78.28728,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,1969,2012,,1,Total=7.86  (1)=7.86;,40.23,,Eastern,RENFREW,Open to traffic,Provincial,09/27/2016,84.2,,84.2,,86,,87.7,,60.9,,62.1,65.2,,79.3,,74.5,,,
29 -   3/,BISSETT CREEK BRIDGE,PONT BISSETT CREEK ,17,46.22459,-78.06879,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,1995,,3,Total=63.8  (1)=17.1;(2)=23.5;(3)=23.2;,63.6,11.1,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,74.2,,74.2,,74.4,,74.6,,74.8,,75,74.8,,78.8,,80.6,,76.6,
29 -   4/,Grant's Creek Bridge,PONT Grant's Creek ,17,46.211259,-77.926585,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2000,2000,2012,1,Total=10.3  (1)=10.3;,9.6,12.8,Eastern,RENFREW,Open to traffic,Provincial,09/27/2016,77,,77,,82.3,,,,84.2,,97.8,98.3,,95.9,,99,,89.6,
29 -   7/,CHALK  R. BR.,PONT CHALK R. ,17,45.99361,-77.39924,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1972,2000,,1,Total=17.1  (1)=17.1;,18.5,14.02,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,68.1,,68.1,,70.7,,68.6,,71.8,,73,74.7,,75.1,,75.5,,77.6,
29 -  38/,CPR  O/H  PEMBROKE TO ALLUMETTE,VIADUC DU CPR PEMBROKE À ALIVMETE ,148,45.801617,-77.059264,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1956,2013,2011,3,Total=51  (1)=15;(2)=21;(3)=15;,51.8,11.8,Eastern,RENFREW,Open to traffic,Provincial,07/11/2017,49.1,49.1,,51.2,,50.5,,54.8,,70.3,,52.9,,62.1,,63.3,,69.6,
29 -  39/,HAZLEY  BAY  BR.,PONT HAZLEY BAY ,148,45.802517,-77.054686,Bridge,Slab,Solid Slab,Reinforced Cast-In-Place Concrete,1956,2011,2011,3,Total=30  (1)=9;(2)=12;(3)=9;,30.8,10.16,Eastern,RENFREW,Open to traffic,Provincial,07/11/2017,69.1,69.1,,71.3,,75.7,,63.1,,68.4,,59,,56.9,,,,67.8,
29 -  47/,BONNECHERE RIVER BRIDGE,PONT BONNECHERE RIVER ,60,45.602085,-77.381255,Bridge,Beam/Girder,Plate I Girder,Steel,1954,2012,1984,15,Total=90  (1)=6;(2)=6;(3)=6;(4)=6;(5)=6;(6)=6;(7)=6;(8)=6;(9)=6;(10)=6;(11)=6;(12)=6;(13)=6;(14)=6;(15)=6;,91.9,13.1,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,84.9,,84.9,,86.7,,,,50.8,,50.7,,54.7,,64.1,,64.1,,63.2
29 -  55/,MUSKRAT R. BR.,PONT MUSKRAT R. ,17,45.735731,-77.00019,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1970,1998,2011,1,Total=24  (1)=24;,24.1,10.97,Eastern,RENFREW,Open to traffic,Provincial,07/11/2017,72.2,72.2,,72.3,,72.9,,73.7,,74.9,,72.4,,78.5,,97.3,,95.8,
29 -  56/,Snake River Bridge,PONT SNAKE R. ,17,45.692814,-76.956173,Bridge,Beam/Girder,Rolled I Beam,Steel,1961,2012,2011,1,Total=23  (1)=23;,24.1,10.97,Eastern,RENFREW,Open to traffic,Provincial,10/19/2017,74.4,74.4,,73.8,,74.3,,62.9,,64,,64.7,,69.7,,70.5,,83,
29 -  69/,SNAKE R BRIDGE-DEV RD NO 14,PONT SNAKE R -DEV RD NO 14 ,41,45.639363,-77.077615,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1951,2011,,1,Total=12  (1)=12;,12.2,11.38,Eastern,RENFREW,Open to traffic,Provincial,10/19/2017,74.8,74.8,,75.9,,77,,,,62.6,,58.6,,62.8,,58.5,,58.5,
29 -  98/,CONSTANT CREEK BRIDGE,PONT CONSTANT CREEK ,41,45.411353,-77.022483,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1973,2003,,1,Total=13  (1)=13;,21.3,10.97,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,69.9,,69.9,,71.5,,73.2,,73.9,,74.2,,74.1,,74.5,,66.4,,74.5
29 - 108/,SNAKE RIVER BRIDGE,PONT SNAKE RIVER ,28,45.193191,-77.394132,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1983,,,1,Total=15.3  (1)=15.3;,15.3,9.45,Eastern,,Open to traffic,Provincial,12/08/2016,73.7,,73.7,,74.2,,74.8,,73.9,,73.6,,87.1,,87,90.4,,,90.7
29 - 111/,GRIFFITH BRIDGE,PONT GRIFFITH ,41,45.24231,-77.177671,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1942,2005,,5,Total=90  (1)=18;(2)=18;(3)=18;(4)=18;(5)=18;,105,10.06,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,66.8,,66.8,,68.1,,68.5,,69.9,,71.3,,70.9,,47,,47,,37.9
29 - 112/,CONSTANT CREEK BRIDGE,PONT DU RUISSEAU CONSTANT,132,45.364433,-76.940838,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1936,1986,,1,Total=7  (1)=7;,10.7,7.62,Eastern,RENFREW,Open to traffic,Provincial,12/08/2016,56.6,,56.6,,57.2,,62,,62.7,,67.5,,68.4,,69.7,,73.9,,73.9
29 - 146/C,BARBUT CREEK CULVERT,,17,46.26625,-78.35435,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1968,,,1,Total=6  (1)=6;,40.2,,Eastern,RENFREW,Open to traffic,Provincial,09/27/2016,67.3,,67.3,,67.3,,67.3,,72.2,,74.9,75,,74.7,,74.7,,,
29 - 148/C,MACKEY CREEK WIDENING,,17,46.16897,-77.81212,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1932,,,2,Total=8.6  (1)=4.3;(2)=4.3;,17,,Eastern,RENFREW,Open to traffic,Provincial,09/27/2016,73.7,,73.7,,74.5,,68.8,,72.4,,73.2,73,,68.8,,68.1,,,
29 - 150/C,GODIN CK CULV.,,41,45.2484829,-77.150067,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1961,,,2,Total=9.8  (1)=4.9;(2)=4.9;,19.2,,Eastern,RENFREW,Open to traffic,Provincial,09/28/2016,74.6,,74.6,,74.6,,73.8,,74.4,,74.8,,72.1,,73.8,,,,
29 - 155/C,DOUGLAS CK CULV.,,60,45.52118,-76.86084,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1965,,,1,Total=6;  (1)=6;,34.5,,Eastern,RENFREW,Open to traffic,Provincial,11/21/2017,66.2,66.2,,68.1,,68.1,,68.1,,71.5,,67.7,,71.4,,,,,
29 - 158/,MUSKRAT RIVER BRIDGE,PONT MUSKRAT RIVER ,17,45.771585,-77.085705,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1979,2015,,3,Total=76.1  (1)=27.4;(2)=32;(3)=16.7;,76.2,13.1,Eastern,,Open to traffic,Provincial,07/11/2017,76.1,76.1,,,,68.3,,69.6,,73.1,,69.7,,69.5,,74.7,,91.3,
29 - 159/,CPR Overhead,Viaduc du CPR,17,45.758333,-77.038676,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1979,2013,,3,Total=65.2  (1)=20.4;(2)=24.4;(3)=20.4;,65.2,13.1,Eastern,,Open to traffic,Provincial,11/21/2017,79,79,,79.6,,,,70.3,,73.2,,73.8,,73.3,,74.1,,90.8,
29 - 162/,C.N.R. O/H PEMBROKE BYPASS,VIADUC C.N.R.PEMBROKE route de contournement ,17,45.802614,-77.198686,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1981,2015,,3,Total=48  (1)=15;(2)=18;(3)=15;,46.9,13.1,Eastern,RENFREW,Open to traffic,Provincial,07/10/2017,76.3,76.3,,,,68.9,,71.5,,73.8,,74.3,,73.8,,74.6,,93.6,
29 - 167/,INDIAN RIVER BRIDGE,PONT DE LA RIVIÈRE INDIAN,17,45.79902,-77.137166,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1981,2015,,1,Total=40  (1)=40;,39.6,13.1,Eastern,RENFREW,Open to traffic,Provincial,07/11/2017,75.4,75.4,,,,68.5,,69.6,,72.9,,72.7,,73.7,,74.2,,92.9,
29 - 191/1,"MADAWASKA RIVER BRIDGE, EBL",PONT MADAWASKA RIVER ,417,45.419958,-76.348378,Bridge,Beam/Girder,Haunched Plate I Girder,Weathering Steel,1979,2012,1990,3,Total=260  (1)=69;(2)=122;(3)=69;,259.1,13.06,Eastern,RENFREW,Open to traffic,Provincial,10/26/2017,75.7,75.7,,76,,76.1,,73,,74.3,,69.2,,74.7,,72.9,,98,
29 - 191/2,"MADAWASKA RIVER BRIDGE, WBL",,417,45.419977,-76.348329,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2011,2012,,3,Total=310  (1)=90;(2)=130;(3)=90;,310,12.64,Eastern,,Open to traffic,Provincial,10/26/2017,93,93,,93.1,,97.2,,,,,,,,,,,,,
29 - 192/2,Constable Philip Shrive Memorial Bridge (formerly Bonnechere,PONT Constable Philip Shrive Memorial (anciennement Bonnechere) ,17,45.486123,-76.655774,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1973,2010,1984,6,Total=294  (1)=43;(2)=52;(3)=52;(4)=52;(5)=52;(6)=43;,294.3,10.88,Eastern,RENFREW,Open to traffic,Provincial,12/11/2017,74.6,74.6,,75.1,,75.5,,76,,,,73.2,,91.5,,86.7,,96.4,
29 - 193/,CNR  OVERHEAD,VIADUC DU CNR ,17,45.456861,-76.610028,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1973,2012,,3,Total=60  (1)=18;(2)=24;(3)=18;,58.4,10.9,Eastern,RENFREW,Open to traffic,Provincial,06/15/2017,74.7,74.7,,75.9,,77.2,,67.4,,70.2,,65.2,,70.9,,70.4,,85.8,
29 - 194/2,CPR  OVERHEAD,Viaduc du CPR,17,45.4769,-76.631972,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1973,2009,,3,Total=62  (1)=20;(2)=22;(3)=20;,61.6,11,Eastern,RENFREW,Open to traffic,Provincial,06/15/2017,74.7,74.7,,75,,75.9,,80,,,,,,68.2,,67,,91.1,
29 - 195/,CPR OVERHEAD,VIADUC DU CPR ,17,45.56791,-76.76646,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,1973,,,1,Total=9;  (1)=9;,61,,Eastern,RENFREW,Open to traffic,Provincial,11/10/2017,74.1,74.1,,74.2,,74.4,,74.4,,74.4,,66,,66,,74.9,,70.8,
29 - 196/,PETAWAWA RIVER BRIDGE,PONT PETAWAWA RIVER ,17,45.888604,-77.308017,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1977,2012,2006,3,Total=123  (1)=38;(2)=47;(3)=38;,56.4,10.87,Eastern,RENFREW,Open to traffic,Provincial,06/17/2017,81.8,81.8,,83.1,,,,69.7,,70.3,,70.4,,79.9,,81.3,,92,
29 - 197/,CPR OVERHEAD,Viaduc du CPR,17,45.919575,-77.320224,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1976,,,3,Total=58  (1)=19;(2)=20;(3)=19;,58.4,10.87,Eastern,RENFREW,Open to traffic,Provincial,10/19/2017,77,77,,78.1,,80.3,,69,,68.7,,66.4,,69.5,,78.2,,90.9,
29 - 200/1,"CPR OVERHEAD, EBL",Viaduc du CPR,17,45.419687,-76.343615,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1979,2010,,1,Total=33  (1)=33;,32.9,13.05,Eastern,RENFREW,Open to traffic,Provincial,06/15/2017,76,76,,76.4,,77,,70.9,,75.5,,69.2,,70.2,,70.5,,92.9,
29 - 200/2,"CPR OVERHEAD, WBL",,417,45.419625,-76.343592,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2010,,,1,Total=33  (1)=33;,33,12.55,Eastern,,Open to traffic,Provincial,06/15/2017,88.8,88.8,,91.5,,96,,,,,,,,,,,,,
29 - 222/C,Culvert,,60,45.5106491,-77.5615228,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,,,,,,28.7,,Eastern,,Open to traffic,Provincial,09/28/2016,67.9,,67.9,,,,68.6,,,,68.3,,,,,,,,
29 - 223/C,Culvert,,60,45.5387481,-77.4492487,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,30,,Eastern,,Open to traffic,Provincial,09/28/2016,69.1,,69.1,,,,67.6,,,,71.3,,,,,,,,
29 - 224/C,Culvert,,60,45.5888945,-77.404489,Culvert,Open Culvert,Open Footing (Non-Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=6.1  (1)=6.1;,22,,Eastern,,Open to traffic,Provincial,09/28/2016,68,,68,,68,,68,,70.7,,71,,71,,71.5,,,,
29 - 225/C,Culvert,,60,45.563783,-77.421283,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,,,2015,1,Total=7.62  (1)=7.62;,19,,Eastern,,Open to traffic,Provincial,09/08/2014,63.6,,63.6,,63.6,,63.6,,64.6,,34,,49.2,,67.7,,,,49
29 - 229/C,Culvert (1km north of Opengo Road),,41,45.3906522,-77.0195657,Culvert,Closed Culvert,Ellipse Culvert,Corrugated Steel,,,,1,Total=3.3  (1)=3.3;,25,,Eastern,,Open to traffic,Provincial,10/28/2015,67.3,,,67.3,,,,67.9,,,,75,,,,,,,
29 - 232/C,Muskrat Creek Culvert,,17,45.5868677,-76.8314445,Culvert,Other Culvert,Rectangular Culvert (Unknown),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,25,,Eastern,,Open to traffic,Provincial,08/24/2016,31.8,,31.8,33.3,31.8,29.8,37,,38.2,,38.3,,39.9,,,,,,
29 - 234/C,Culvert South of Micksburg Rd,,41,45.6994459,-77.0909916,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=3.1  (1)=3.1;,35.97,,Eastern,,Open to traffic,Provincial,08/24/2016,72,,72,,,,71.2,,,,71.8,,,,,,,,
29 - 235/C,Culvert N. of White Lk Rd,,41,45.7497115,-77.1119565,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1969,,,1,Total=3.7  (1)=3.7;,35,,Eastern,,Open to traffic,Provincial,09/27/2017,36.1,36.1,36.1,38.6,37.7,37.7,37.9,38,24.6,,24.6,,55.8,,,,,,
29 - 236/C,"LARGE CULVERT, RENFREW CITY",,60,45.51404,-76.78728,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,1963,,,1,Total=6.1  (1)=6.1;,44.3,,Eastern,,Open to traffic,Provincial,10/19/2017,72.1,72.1,,72.1,,72.1,,72.7,,72.8,,71.1,,75,,,,,
29 - 237/C,Mink Creek Culvert,,60,45.5144099,-76.9283156,Culvert,Open Culvert,Open Footing (Rigid Frame),Reinforced Cast-In-Place Concrete,,,,1,Total=4.9  (1)=4.9;,44,,Eastern,,Open to traffic,Provincial,09/08/2014,69.9,,,,69.9,,,,68.8,,,,71.4,,,,,,
29 - 238/C,Cochrance Creek Culvert,,60,45.5971452,-77.2965903,Culvert,Closed Culvert,Round Culvert,Corrugated Steel,2014,2015,,1,Total=3.66  (1)=3.66;,29.3,,Eastern,,Open to traffic,Provincial,09/08/2014,59.2,,59.2,,59.2,,59.9,,,,59.8,,,,,,,,
